Tabela,Data,Kurs Å›redni,Zmiana
48/A/NBP/2023,2023-03-09,5.2648,-0.31
47/A/NBP/2023,2023-03-08,5.2811,-0.05
46/A/NBP/2023,2023-03-07,5.2836,-0.81
45/A/NBP/2023,2023-03-06,5.3268,0.23
44/A/NBP/2023,2023-03-03,5.3147,0.89
43/A/NBP/2023,2023-03-02,5.2676,-1.02
42/A/NBP/2023,2023-03-01,5.3218,-0.9
41/A/NBP/2023,2023-02-28,5.37,0.33
40/A/NBP/2023,2023-02-27,5.3523,-0.26
39/A/NBP/2023,2023-02-24,5.3663,-0.59
38/A/NBP/2023,2023-02-23,5.3984,0.02
37/A/NBP/2023,2023-02-22,5.3971,0.26
36/A/NBP/2023,2023-02-21,5.3832,0.58
35/A/NBP/2023,2023-02-20,5.352,-0.16
34/A/NBP/2023,2023-02-17,5.3606,-0.31
33/A/NBP/2023,2023-02-16,5.3772,0.18
32/A/NBP/2023,2023-02-15,5.3674,-0.96
31/A/NBP/2023,2023-02-14,5.4193,0.35
30/A/NBP/2023,2023-02-13,5.4003,0.15
29/A/NBP/2023,2023-02-10,5.3922,0.93
28/A/NBP/2023,2023-02-09,5.3427,0.14
27/A/NBP/2023,2023-02-08,5.3351,0.26
26/A/NBP/2023,2023-02-07,5.3212,0.85
25/A/NBP/2023,2023-02-06,5.2764,0.37
24/A/NBP/2023,2023-02-03,5.2571,-0.51
23/A/NBP/2023,2023-02-02,5.2838,-0.83
22/A/NBP/2023,2023-02-01,5.3279,-0.59
21/A/NBP/2023,2023-01-31,5.3595,-0.03
20/A/NBP/2023,2023-01-30,5.3609,0.19
19/A/NBP/2023,2023-01-27,5.3505,-0.34
18/A/NBP/2023,2023-01-26,5.369,0.8
17/A/NBP/2023,2023-01-25,5.3263,-0.34
16/A/NBP/2023,2023-01-24,5.3443,-0.38
15/A/NBP/2023,2023-01-23,5.3648,-0.12
14/A/NBP/2023,2023-01-20,5.3711,0.16
13/A/NBP/2023,2023-01-19,5.3625,0.15
12/A/NBP/2023,2023-01-18,5.3543,1.04
11/A/NBP/2023,2023-01-17,5.2992,-0.01
10/A/NBP/2023,2023-01-16,5.2998,0.17
9/A/NBP/2023,2023-01-13,5.291,-0.24
8/A/NBP/2023,2023-01-12,5.3035,0.18
7/A/NBP/2023,2023-01-11,5.2938,-0.62
6/A/NBP/2023,2023-01-10,5.3266,-0.47
5/A/NBP/2023,2023-01-09,5.3515,1.18
4/A/NBP/2023,2023-01-05,5.2892,-0.32
3/A/NBP/2023,2023-01-04,5.3064,0.29
2/A/NBP/2023,2023-01-03,5.2911,0.27
1/A/NBP/2023,2023-01-02,5.2768,-0.36
252/A/NBP/2022,2022-12-30,5.2957,-0.33
251/A/NBP/2022,2022-12-29,5.3132,0.09
250/A/NBP/2022,2022-12-28,5.3085,0.78
249/A/NBP/2022,2022-12-27,5.2676,-0.09
248/A/NBP/2022,2022-12-23,5.2722,-0.35
247/A/NBP/2022,2022-12-22,5.2905,-0.82
246/A/NBP/2022,2022-12-21,5.3342,-0.23
245/A/NBP/2022,2022-12-20,5.3463,-0.86
244/A/NBP/2022,2022-12-19,5.3926,0.39
243/A/NBP/2022,2022-12-16,5.3716,-1.29
242/A/NBP/2022,2022-12-15,5.4418,-0.13
241/A/NBP/2022,2022-12-14,5.449,-0.27
240/A/NBP/2022,2022-12-13,5.4638,0.2
239/A/NBP/2022,2022-12-12,5.453,0.39
238/A/NBP/2022,2022-12-09,5.4317,-0.31
237/A/NBP/2022,2022-12-08,5.4484,0.19
236/A/NBP/2022,2022-12-07,5.438,-0.28
235/A/NBP/2022,2022-12-06,5.4534,-0.04
234/A/NBP/2022,2022-12-05,5.4558,-0.1
233/A/NBP/2022,2022-12-02,5.461,0.08
232/A/NBP/2022,2022-12-01,5.4564,0.76
231/A/NBP/2022,2022-11-30,5.4151,0.02
230/A/NBP/2022,2022-11-29,5.4141,-0.08
229/A/NBP/2022,2022-11-28,5.4185,-0.57
228/A/NBP/2022,2022-11-25,5.4497,-0.08
227/A/NBP/2022,2022-11-24,5.4542,0.62
226/A/NBP/2022,2022-11-23,5.4205,-0.29
225/A/NBP/2022,2022-11-22,5.4362,0.13
224/A/NBP/2022,2022-11-21,5.4294,0.4
223/A/NBP/2022,2022-11-18,5.4075,0.23
222/A/NBP/2022,2022-11-17,5.395,0.67
221/A/NBP/2022,2022-11-16,5.3593,0.35
220/A/NBP/2022,2022-11-15,5.3404,-0.27
219/A/NBP/2022,2022-11-14,5.3546,-0.46
218/A/NBP/2022,2022-11-10,5.3795,0.35
217/A/NBP/2022,2022-11-09,5.361,-0.53
216/A/NBP/2022,2022-11-08,5.3894,0.39
215/A/NBP/2022,2022-11-07,5.3687,-0.26
214/A/NBP/2022,2022-11-04,5.3825,-0.93
213/A/NBP/2022,2022-11-03,5.433,-0.5
212/A/NBP/2022,2022-11-02,5.4601,-0.27
211/A/NBP/2022,2022-10-31,5.4748,0.03
210/A/NBP/2022,2022-10-28,5.4733,0.01
209/A/NBP/2022,2022-10-27,5.4728,-0.76
208/A/NBP/2022,2022-10-26,5.5146,0.45
207/A/NBP/2022,2022-10-25,5.4898,-0.41
206/A/NBP/2022,2022-10-24,5.5126,1.08
205/A/NBP/2022,2022-10-21,5.4537,-0.55
204/A/NBP/2022,2022-10-20,5.4837,-0.41
203/A/NBP/2022,2022-10-19,5.5061,-0.35
202/A/NBP/2022,2022-10-18,5.5256,-0.98
201/A/NBP/2022,2022-10-17,5.5801,-0.15
200/A/NBP/2022,2022-10-14,5.5886,0.89
199/A/NBP/2022,2022-10-13,5.5395,0.34
198/A/NBP/2022,2022-10-12,5.5205,-0.37
197/A/NBP/2022,2022-10-11,5.541,-0.24
196/A/NBP/2022,2022-10-10,5.5542,0.07
195/A/NBP/2022,2022-10-07,5.5505,0.37
194/A/NBP/2022,2022-10-06,5.5303,0.06
193/A/NBP/2022,2022-10-05,5.5269,-0.09
192/A/NBP/2022,2022-10-04,5.532,0.3
191/A/NBP/2022,2022-10-03,5.5155,-0.73
190/A/NBP/2022,2022-09-30,5.556,2.26
189/A/NBP/2022,2022-09-29,5.4331,0.88
188/A/NBP/2022,2022-09-28,5.3856,0.73
187/A/NBP/2022,2022-09-27,5.3465,1.22
186/A/NBP/2022,2022-09-26,5.2822,-3.13
185/A/NBP/2022,2022-09-23,5.453,-0.4
184/A/NBP/2022,2022-09-22,5.475,0.85
183/A/NBP/2022,2022-09-21,5.4289,0.79
182/A/NBP/2022,2022-09-20,5.3866,0.29
181/A/NBP/2022,2022-09-19,5.3711,-0.32
180/A/NBP/2022,2022-09-16,5.3882,-0.97
179/A/NBP/2022,2022-09-15,5.4412,-0.17
178/A/NBP/2022,2022-09-14,5.4504,0.36
177/A/NBP/2022,2022-09-13,5.4311,0.49
176/A/NBP/2022,2022-09-12,5.4044,-0.26
175/A/NBP/2022,2022-09-09,5.4185,-0.25
174/A/NBP/2022,2022-09-08,5.4322,-0.68
173/A/NBP/2022,2022-09-07,5.4696,-0.23
172/A/NBP/2022,2022-09-06,5.4821,0.04
171/A/NBP/2022,2022-09-05,5.4798,0.32
170/A/NBP/2022,2022-09-02,5.4622,0.29
169/A/NBP/2022,2022-09-01,5.4464,-1.2
168/A/NBP/2022,2022-08-31,5.5126,-0.52
167/A/NBP/2022,2022-08-30,5.5413,-0.61
166/A/NBP/2022,2022-08-29,5.5752,-0.46
165/A/NBP/2022,2022-08-26,5.6007,-0.54
164/A/NBP/2022,2022-08-25,5.6312,-0.83
163/A/NBP/2022,2022-08-24,5.6784,0.38
162/A/NBP/2022,2022-08-23,5.6567,0.97
161/A/NBP/2022,2022-08-22,5.6022,0.07
160/A/NBP/2022,2022-08-19,5.5981,0
159/A/NBP/2022,2022-08-18,5.5983,0.3
158/A/NBP/2022,2022-08-17,5.5818,0.19
157/A/NBP/2022,2022-08-16,5.5711,0.64
156/A/NBP/2022,2022-08-12,5.5357,0.03
155/A/NBP/2022,2022-08-11,5.5339,-0.78
154/A/NBP/2022,2022-08-10,5.5775,0.23
153/A/NBP/2022,2022-08-09,5.5646,-0.19
152/A/NBP/2022,2022-08-08,5.5752,-0.25
151/A/NBP/2022,2022-08-05,5.5889,-0.86
150/A/NBP/2022,2022-08-04,5.6374,0.27
149/A/NBP/2022,2022-08-03,5.6221,0.28
148/A/NBP/2022,2022-08-02,5.6062,-0.97
147/A/NBP/2022,2022-08-01,5.6612,0.32
146/A/NBP/2022,2022-07-29,5.6434,-1.37
145/A/NBP/2022,2022-07-28,5.722,0.65
144/A/NBP/2022,2022-07-27,5.685,2.21
143/A/NBP/2022,2022-07-26,5.5621,0.17
142/A/NBP/2022,2022-07-25,5.5525,-1.03
141/A/NBP/2022,2022-07-22,5.6103,0.65
140/A/NBP/2022,2022-07-21,5.5738,-0.2
139/A/NBP/2022,2022-07-20,5.5852,-0.28
138/A/NBP/2022,2022-07-19,5.6009,-0.58
137/A/NBP/2022,2022-07-18,5.6333,-0.72
136/A/NBP/2022,2022-07-15,5.6739,-0.74
135/A/NBP/2022,2022-07-14,5.7163,-0.31
134/A/NBP/2022,2022-07-13,5.7338,0.38
133/A/NBP/2022,2022-07-12,5.7119,0.68
132/A/NBP/2022,2022-07-11,5.6736,0.25
131/A/NBP/2022,2022-07-08,5.6594,0.54
130/A/NBP/2022,2022-07-07,5.629,0.58
129/A/NBP/2022,2022-07-06,5.5968,1.15
128/A/NBP/2022,2022-07-05,5.5334,1.37
127/A/NBP/2022,2022-07-04,5.4587,0.01
126/A/NBP/2022,2022-07-01,5.4583,0.28
125/A/NBP/2022,2022-06-30,5.4429,0.39
124/A/NBP/2022,2022-06-29,5.4215,-0.54
123/A/NBP/2022,2022-06-28,5.451,-0.27
122/A/NBP/2022,2022-06-27,5.4655,-0.32
121/A/NBP/2022,2022-06-24,5.4831,0.14
120/A/NBP/2022,2022-06-23,5.4756,1.08
119/A/NBP/2022,2022-06-22,5.4171,0.2
118/A/NBP/2022,2022-06-21,5.4064,-0.57
117/A/NBP/2022,2022-06-20,5.4376,-1.08
116/A/NBP/2022,2022-06-17,5.4971,2.31
115/A/NBP/2022,2022-06-15,5.3729,-0.58
114/A/NBP/2022,2022-06-14,5.4041,0.04
113/A/NBP/2022,2022-06-13,5.4022,-0.19
112/A/NBP/2022,2022-06-10,5.4127,1.05
111/A/NBP/2022,2022-06-09,5.3566,-0.28
110/A/NBP/2022,2022-06-08,5.3719,0.14
109/A/NBP/2022,2022-06-07,5.3644,-0.02
108/A/NBP/2022,2022-06-06,5.3655,-0.05
107/A/NBP/2022,2022-06-03,5.3681,-0.28
106/A/NBP/2022,2022-06-02,5.3832,-0.03
105/A/NBP/2022,2022-06-01,5.385,0.12
104/A/NBP/2022,2022-05-31,5.3783,-0.07
103/A/NBP/2022,2022-05-30,5.3821,-0.72
102/A/NBP/2022,2022-05-27,5.4209,-0.09
101/A/NBP/2022,2022-05-26,5.4257,0.59
100/A/NBP/2022,2022-05-25,5.3938,0.3
99/A/NBP/2022,2022-05-24,5.3775,-1.37
98/A/NBP/2022,2022-05-23,5.4524,-0.39
97/A/NBP/2022,2022-05-20,5.4735,-0.11
96/A/NBP/2022,2022-05-19,5.4796,0
95/A/NBP/2022,2022-05-18,5.4797,-1.05
94/A/NBP/2022,2022-05-17,5.5377,1.05
93/A/NBP/2022,2022-05-16,5.4799,0.12
92/A/NBP/2022,2022-05-13,5.4736,0.17
91/A/NBP/2022,2022-05-12,5.4644,-0.06
90/A/NBP/2022,2022-05-11,5.4677,0.21
89/A/NBP/2022,2022-05-10,5.4564,-0.71
88/A/NBP/2022,2022-05-09,5.4956,0.08
87/A/NBP/2022,2022-05-06,5.4914,-0.56
86/A/NBP/2022,2022-05-05,5.5223,-0.73
85/A/NBP/2022,2022-05-04,5.5631,-0.47
84/A/NBP/2022,2022-05-02,5.5894,1.04
83/A/NBP/2022,2022-04-29,5.532,-1.08
82/A/NBP/2022,2022-04-28,5.5924,0.32
81/A/NBP/2022,2022-04-27,5.5744,0.8
80/A/NBP/2022,2022-04-26,5.5299,0.45
79/A/NBP/2022,2022-04-25,5.5054,-0.49
78/A/NBP/2022,2022-04-22,5.5327,-0.56
77/A/NBP/2022,2022-04-21,5.5636,-0.03
76/A/NBP/2022,2022-04-20,5.565,-0.49
75/A/NBP/2022,2022-04-19,5.5924,-0.17
74/A/NBP/2022,2022-04-15,5.6019,0.17
73/A/NBP/2022,2022-04-14,5.5923,0.29
72/A/NBP/2022,2022-04-13,5.5761,-0.1
71/A/NBP/2022,2022-04-12,5.5819,0.6
70/A/NBP/2022,2022-04-11,5.5484,-0.39
69/A/NBP/2022,2022-04-08,5.5702,-0.28
68/A/NBP/2022,2022-04-07,5.586,0.1
67/A/NBP/2022,2022-04-06,5.5802,0.71
66/A/NBP/2022,2022-04-05,5.541,0.42
65/A/NBP/2022,2022-04-04,5.518,0.12
64/A/NBP/2022,2022-04-01,5.5114,0.5
63/A/NBP/2022,2022-03-31,5.4842,0.12
62/A/NBP/2022,2022-03-30,5.4775,-2.27
61/A/NBP/2022,2022-03-29,5.605,-0.46
60/A/NBP/2022,2022-03-28,5.6311,-0.81
59/A/NBP/2022,2022-03-25,5.6769,-0.51
58/A/NBP/2022,2022-03-24,5.7061,0.86
57/A/NBP/2022,2022-03-23,5.6574,0.45
56/A/NBP/2022,2022-03-22,5.6322,0.9
55/A/NBP/2022,2022-03-21,5.5819,-0.52
54/A/NBP/2022,2022-03-18,5.6109,0.44
53/A/NBP/2022,2022-03-17,5.5865,-0.12
52/A/NBP/2022,2022-03-16,5.5931,-0.22
51/A/NBP/2022,2022-03-15,5.6056,-0.57
50/A/NBP/2022,2022-03-14,5.6375,-1.32
49/A/NBP/2022,2022-03-11,5.7127,-0.24
48/A/NBP/2022,2022-03-10,5.7264,-1.36
47/A/NBP/2022,2022-03-09,5.8051,-1.93
46/A/NBP/2022,2022-03-08,5.9196,-1.69
45/A/NBP/2022,2022-03-07,6.0211,3.08
44/A/NBP/2022,2022-03-04,5.8413,0.92
43/A/NBP/2022,2022-03-03,5.7881,0.43
42/A/NBP/2022,2022-03-02,5.7631,1.83
41/A/NBP/2022,2022-03-01,5.6593,0.82
40/A/NBP/2022,2022-02-28,5.6131,0.68
39/A/NBP/2022,2022-02-25,5.5751,0.52
38/A/NBP/2022,2022-02-24,5.546,2.07
37/A/NBP/2022,2022-02-23,5.4333,-0.27
36/A/NBP/2022,2022-02-22,5.4482,0.47
35/A/NBP/2022,2022-02-21,5.4227,0.01
34/A/NBP/2022,2022-02-18,5.4222,0.43
33/A/NBP/2022,2022-02-17,5.3988,0.83
32/A/NBP/2022,2022-02-16,5.3542,-0.58
31/A/NBP/2022,2022-02-15,5.3856,-1.44
30/A/NBP/2022,2022-02-14,5.4645,1.62
29/A/NBP/2022,2022-02-11,5.3772,1.03
28/A/NBP/2022,2022-02-10,5.3225,-0.76
27/A/NBP/2022,2022-02-09,5.3633,-0.3
26/A/NBP/2022,2022-02-08,5.3792,-0.19
25/A/NBP/2022,2022-02-07,5.3893,0.15
24/A/NBP/2022,2022-02-04,5.381,-1.44
23/A/NBP/2022,2022-02-03,5.4598,0.08
22/A/NBP/2022,2022-02-02,5.4556,-0.66
21/A/NBP/2022,2022-02-01,5.492,-0.72
20/A/NBP/2022,2022-01-31,5.532,0.7
19/A/NBP/2022,2022-01-28,5.4934,0.21
18/A/NBP/2022,2022-01-27,5.4818,-0.25
17/A/NBP/2022,2022-01-26,5.4958,0.41
16/A/NBP/2022,2022-01-25,5.4731,1.04
15/A/NBP/2022,2022-01-24,5.4169,-0.08
14/A/NBP/2022,2022-01-21,5.421,-0.13
13/A/NBP/2022,2022-01-20,5.4279,-0.14
12/A/NBP/2022,2022-01-19,5.4357,0.39
11/A/NBP/2022,2022-01-18,5.4144,0.04
10/A/NBP/2022,2022-01-17,5.4123,-0.49
9/A/NBP/2022,2022-01-14,5.4387,0.33
8/A/NBP/2022,2022-01-13,5.4209,-0.25
7/A/NBP/2022,2022-01-12,5.4345,-0.43
6/A/NBP/2022,2022-01-11,5.458,0.32
5/A/NBP/2022,2022-01-10,5.4406,-0.35
4/A/NBP/2022,2022-01-07,5.4595,-0.12
3/A/NBP/2022,2022-01-05,5.4658,-0.03
2/A/NBP/2022,2022-01-04,5.4677,0.06
1/A/NBP/2022,2022-01-03,5.4643,-0.37
254/A/NBP/2021,2021-12-31,5.4846,0.3
253/A/NBP/2021,2021-12-30,5.468,-0.02
252/A/NBP/2021,2021-12-29,5.4693,0.13
251/A/NBP/2021,2021-12-28,5.4623,-0.33
250/A/NBP/2021,2021-12-27,5.4805,0.21
249/A/NBP/2021,2021-12-24,5.4691,-0.36
248/A/NBP/2021,2021-12-23,5.4889,0.81
247/A/NBP/2021,2021-12-22,5.445,0.41
246/A/NBP/2021,2021-12-21,5.4229,-0.14
245/A/NBP/2021,2021-12-20,5.4304,-0.26
244/A/NBP/2021,2021-12-17,5.4443,0.06
243/A/NBP/2021,2021-12-16,5.4408,0.08
242/A/NBP/2021,2021-12-15,5.4363,0.06
241/A/NBP/2021,2021-12-14,5.433,0.04
240/A/NBP/2021,2021-12-13,5.431,0.62
239/A/NBP/2021,2021-12-10,5.3977,0.09
238/A/NBP/2021,2021-12-09,5.3927,0.03
237/A/NBP/2021,2021-12-08,5.3909,-0.35
236/A/NBP/2021,2021-12-07,5.4098,0.45
235/A/NBP/2021,2021-12-06,5.3854,-0.31
234/A/NBP/2021,2021-12-03,5.4021,-0.17
233/A/NBP/2021,2021-12-02,5.4114,-0.98
232/A/NBP/2021,2021-12-01,5.4651,-0.76
231/A/NBP/2021,2021-11-30,5.507,-0.83
230/A/NBP/2021,2021-11-29,5.5531,-0.12
229/A/NBP/2021,2021-11-26,5.5597,0.23
228/A/NBP/2021,2021-11-25,5.5469,-0.56
227/A/NBP/2021,2021-11-24,5.5781,-0.47
226/A/NBP/2021,2021-11-23,5.6043,-0.28
225/A/NBP/2021,2021-11-22,5.6202,0.92
224/A/NBP/2021,2021-11-19,5.569,0.38
223/A/NBP/2021,2021-11-18,5.548,0.24
222/A/NBP/2021,2021-11-17,5.5345,0.1
221/A/NBP/2021,2021-11-16,5.5291,1.77
220/A/NBP/2021,2021-11-15,5.433,0
219/A/NBP/2021,2021-11-12,5.4328,1.01
218/A/NBP/2021,2021-11-10,5.3784,-0.19
217/A/NBP/2021,2021-11-09,5.3885,0.5
216/A/NBP/2021,2021-11-08,5.3617,0.02
215/A/NBP/2021,2021-11-05,5.3604,-1.19
214/A/NBP/2021,2021-11-04,5.4249,0.33
213/A/NBP/2021,2021-11-03,5.407,-0.33
212/A/NBP/2021,2021-11-02,5.425,-0.68
211/A/NBP/2021,2021-10-29,5.4619,-0.53
210/A/NBP/2021,2021-10-28,5.491,0.49
